cpu_percent,mem_percent,time_stamp
0.0,58.2,2020-10-21 17:38:23.197258
94.4,59.4,2020-10-21 17:38:24.311353
100.0,60.7,2020-10-21 17:38:25.326357
100.0,61.3,2020-10-21 17:38:26.350070
0.0,58.8,2020-10-21 17:38:27.463410
0.0,58.5,2020-10-21 17:38:28.591235
0.0,62.3,2020-10-21 17:38:29.654405
0.0,62.0,2020-10-21 17:38:30.666489
0.0,61.5,2020-10-21 17:38:31.721001
0.0,57.7,2020-10-21 17:37:58.255318
0.0,57.7,2020-10-21 17:37:59.264268
25.0,57.9,2020-10-21 17:38:00.269615
0.0,57.9,2020-10-21 17:38:01.282293
0.0,57.8,2020-10-21 17:38:02.300176
0.0,57.9,2020-10-21 17:38:03.309580
50.0,58.0,2020-10-21 17:38:04.325185
0.0,57.9,2020-10-21 17:38:05.333809
75.0,58.0,2020-10-21 17:38:06.345054
0.0,57.8,2020-10-21 17:38:07.357338
0.0,57.8,2020-10-21 17:38:08.364234
0.0,57.8,2020-10-21 17:38:09.369319
50.0,57.8,2020-10-21 17:38:10.377972
0.0,57.8,2020-10-21 17:38:11.392432
0.0,57.8,2020-10-21 17:38:12.402713
0.0,57.9,2020-10-21 17:38:13.407693
0.0,57.9,2020-10-21 17:38:14.417858
50.0,58.1,2020-10-21 17:38:15.424267
0.0,58.1,2020-10-21 17:38:16.429442
0.0,58.7,2020-10-21 17:38:17.525060
0.0,58.7,2020-10-21 17:38:18.541108
0.0,58.1,2020-10-21 17:38:19.545066
0.0,58.1,2020-10-21 17:38:20.551234
0.0,58.2,2020-10-21 17:38:21.563840
66.7,58.2,2020-10-21 17:38:22.570248
0.0,58.6,2020-10-21 17:38:23.667641
0.0,61.5,2020-10-21 17:38:24.824462
0.0,60.9,2020-10-21 17:38:25.925490
76.1,59.5,2020-10-21 17:38:26.945411
0.0,58.6,2020-10-21 17:38:28.056613
99.3,59.9,2020-10-21 17:38:29.161333
0.0,62.1,2020-10-21 17:38:30.166947
65.4,62.2,2020-10-21 17:38:31.186998
53.7,60.0,2020-10-21 17:38:32.197067
21.4,57.8,2020-10-21 17:37:58.657887
0.0,57.8,2020-10-21 17:37:59.669636
28.6,57.8,2020-10-21 17:38:00.673591
0.0,57.8,2020-10-21 17:38:01.687264
10.7,57.9,2020-10-21 17:38:02.700949
0.0,57.9,2020-10-21 17:38:03.709588
0.0,58.0,2020-10-21 17:38:04.711943
12.5,57.9,2020-10-21 17:38:05.723807
0.0,57.9,2020-10-21 17:38:06.735217
8.3,57.8,2020-10-21 17:38:07.742305
0.0,57.7,2020-10-21 17:38:08.754985
12.5,57.9,2020-10-21 17:38:09.756482
0.0,57.8,2020-10-21 17:38:10.768316
0.0,57.9,2020-10-21 17:38:11.779648
33.3,57.9,2020-10-21 17:38:12.791220
37.8,58.2,2020-10-21 17:38:13.848494
0.0,58.1,2020-10-21 17:38:14.851923
0.0,58.1,2020-10-21 17:38:15.855139
30.3,58.1,2020-10-21 17:38:16.859454
0.0,58.3,2020-10-21 17:38:17.876066
31.0,59.1,2020-10-21 17:38:18.881188
60.7,58.1,2020-10-21 17:38:19.887284
17.9,58.2,2020-10-21 17:38:20.892356
25.0,58.2,2020-10-21 17:38:21.906481
0.0,58.2,2020-10-21 17:38:22.937229
0.0,59.7,2020-10-21 17:38:24.396892
80.0,60.8,2020-10-21 17:38:25.399345
0.0,61.3,2020-10-21 17:38:26.415688
0.0,58.8,2020-10-21 17:38:27.462411
0.0,58.1,2020-10-21 17:38:28.469236
100.0,62.0,2020-10-21 17:38:29.585406
0.0,62.0,2020-10-21 17:38:30.589482
69.7,61.5,2020-10-21 17:38:31.720001
0.0,57.7,2020-10-21 17:38:32.753062
25.0,57.7,2020-10-21 17:37:56.810730
18.8,57.7,2020-10-21 17:37:57.817054
20.0,57.8,2020-10-21 17:37:58.828605
37.5,57.8,2020-10-21 17:37:59.836653
35.3,57.8,2020-10-21 17:38:00.845938
30.0,57.8,2020-10-21 17:38:01.859909
8.3,57.9,2020-10-21 17:38:02.873041
18.8,58.0,2020-10-21 17:38:03.879459
6.2,57.9,2020-10-21 17:38:04.882273
0.0,58.0,2020-10-21 17:38:05.895749
25.0,57.8,2020-10-21 17:38:06.908917
0.0,57.8,2020-10-21 17:38:07.914396
16.7,57.8,2020-10-21 17:38:08.922108
11.8,57.8,2020-10-21 17:38:09.926207
23.1,57.7,2020-10-21 17:38:10.938085
18.8,57.8,2020-10-21 17:38:11.953570
8.3,57.9,2020-10-21 17:38:12.961045
62.5,58.9,2020-10-21 17:38:13.967749
25.0,58.1,2020-10-21 17:38:14.977144
41.7,58.1,2020-10-21 17:38:15.979993
25.0,58.1,2020-10-21 17:38:16.985650
83.3,58.3,2020-10-21 17:38:17.997066
46.0,58.4,2020-10-21 17:38:19.078181
0.0,58.2,2020-10-21 17:38:20.086024
5.8,58.1,2020-10-21 17:38:21.095543
0.0,58.2,2020-10-21 17:38:22.108194
87.5,58.3,2020-10-21 17:38:23.119353
0.0,58.8,2020-10-21 17:38:24.160406
0.0,60.7,2020-10-21 17:38:25.186532
0.0,61.3,2020-10-21 17:38:26.264065
0.0,58.8,2020-10-21 17:38:27.463410
0.0,58.5,2020-10-21 17:38:28.591235
0.0,62.3,2020-10-21 17:38:29.653407
0.0,62.0,2020-10-21 17:38:30.666489
0.0,61.5,2020-10-21 17:38:31.720001
0.0,57.7,2020-10-21 17:38:32.753062
25.0,57.7,2020-10-21 17:37:59.264268
0.0,57.9,2020-10-21 17:38:00.269615
40.0,57.9,2020-10-21 17:38:01.282293
25.0,57.8,2020-10-21 17:38:02.300176
60.0,57.9,2020-10-21 17:38:03.309580
0.0,58.0,2020-10-21 17:38:04.325185
25.0,57.9,2020-10-21 17:38:05.333809
0.0,58.0,2020-10-21 17:38:06.345054
12.5,57.8,2020-10-21 17:38:07.356593
